s.no,Text in Punjab,Text in English,Is Correct,"Comment 
(Please add if the translation is not correct)"
1, ਮਲੇਸ਼ੀਆ ਨੂੰ ਹਰਾ ਕੇ ਭਾਰਤ ਨੇ ਜਿੱਤਿਆ ਚੌਥਾ ਏਸ਼ੀਅਨ ਚੈਂਪੀਅਨਜ਼ ਟਰਾਫੀ ਖਿਤਾਬ,India won the fourth Asian Champions Trophy title by defeating Malaysia,FALSE,
2,"ਸਿੰਧੂ ਨੂੰ ਪਹਿਲੇ ਗੇੜ 'ਚ ਮਿਲੀ ਬਾਈ, ਬੀਡਬਲਯੂਐੱਫ ਵਿਸ਼ਵ ਬੈਡਮਿੰਟਨ ਚੈਂਪੀਅਨਸ਼ਿਪ 2023 ਦੇ ਡਰਾਅ ਦਾ ਐਲਾਨ","Sindhu gets first round bye, BWF World Badminton Championship 2023 draw announced",FALSE,
3,ਵਨਡੇ ਵਿਸ਼ਵ ਕੱਪ ਤੋਂ ਪਹਿਲਾਂ ਭਾਰਤੀ ਕ੍ਰਿਕਟ ਟੀਮ ਨੂੰ ਖੁਸ਼ਖਬਰੀ ਮਿਲੀ ਹੈ। ਤੇਜ਼ ਗੇਂਦਬਾਜ਼ ਜਸਪ੍ਰੀਤ ਬੁਮਰਾਹ ਫਿੱਟ ਹੋ ਕੇ ਟੀਮ 'ਚ ਵਾਪਸੀ ਕਰ ਚੁੱਕੇ ਹਨ। ਸੱਟ ਕਾਰਨ ਲਗਭਗ ਇਕ ਸਾਲ ਤੋਂ ਟੀਮ ਇੰਡੀਆ ਤੋਂ ਦੂਰ ਰਹੇ ਬੁਮਰਾਹ ਨੂੰ ਮੁਕਾਬਲੇ ਵਾਲੀ ਕ੍ਰਿਕਟ 'ਚ ਵਾਪਸੀ ਕਰਦੇ ਹੀ ਬੀਸੀਸੀਆਈ ਨੇ ਨਵੀਂ ਜ਼ਿੰਮੇਵਾਰੀ ਸੌਂਪ ਦਿੱਤੀ ਹੈ।,"Ahead of the ODI World Cup, the Indian cricket team has received good news. Fast bowler Jasprit Bumrah has returned to the team after being fit. Bumrah, who has been away from Team India for almost a year due to injury, has been given a new responsibility by the BCCI as soon as he returns to competitive cricket.",FALSE,
4,ਮੋਦੀ ਸਰਕਾਰ ਨੇ ਦੇਸ਼ ਨੂੰ ‘ਹਾਈਵੇਅ ਤੋਂ ਨਰਕ ਦੇ ਰਾਹ’ ਪਾੲਿਆ: ਕਾਂਗਰਸ,Modi government took the country from 'highway to hell': Congress,FALSE,
5,ਹਿਮਾਚਲ ਪ੍ਰਦੇਸ਼ ’ਚ ਭਾਰੀ ਮੀਂਹ ਦਾ ਕਹਿਰ ਅੱਜ ਵੀ ਜਾਰੀ ਹੈ ਅਤੇ ਮੀਂਹ ਕਾਰਨ ਵਾਪਰੀਆਂ ਘਟਨਾਵਾਂ ਵਿੱਚ ਘੱਟੋ-ਘੱਟ 51 ਜਣਿਆਂ ਦੀ ਮੌਤ ਹੋ ਚੁੱਕੀ ਹੈ ਜਿਨ੍ਹਾਂ ’ਚੋਂ 14 ਵਿਅਕਤੀ ਸ਼ਿਮਲਾ ਨਾਲ ਸਬੰਧਤ ਹਨ। ਸੋਲਨ ਤੇ ਮੰਡੀ ਜ਼ਿਲ੍ਹੇ ’ਚ ਦੋ ਪਰਿਵਾਰਾਂ ਦੇ ਸੱਤ-ਸੱਤ ਜੀਅ ਹਲਾਕ ਹੋ ਗਏ ਹਨ। ਅਧਿਕਾਰੀਆਂ ਨੇ ਅੱਜ ਇਹ ਜਾਣਕਾਰੀ ਦਿੱਤੀ। ਮੌਸਮ ਵਿਭਾਗ ਨੇ ਸੂਬੇ ’ਚ ਭਲਕੇ 15 ਅਗਸਤ ਲਈ ਯੈਲੋ ਅਲਰਟ ਜਾਰੀ ਕਰਦਿਆਂ 18 ਅਗਸਤ ਤੱਕ ਮੀਂਹ ਦੀ ਪੇਸ਼ੀਨਗੋਈ ਕੀਤੀ ਹੈ।,"The fury of heavy rain in Himachal Pradesh continues today and at least 51 people have died in the incidents due to rain, out of which 14 people belong to Shimla. In Solan and Mandi district, seven members of two families have died. Officials gave this information today. The Meteorological Department has issued a yellow alert for August 15 in the state and has predicted rain till August 18.",FALSE,
6,ਭਾਖੜਾ ਬਿਆਸ ਮੈਨੇਜਮੈਂਟ ਬੋਰਡ (ਬੀਬੀਐੱਮਬੀ) ਨੇ ਵੀ ਅੱਜ ਪੰਜਾਬ ਸਰਕਾਰ ਨਾਲ ਮੀਟਿੰਗ ਕੀਤੀ ਹੈ। ਮੀਟਿੰਗ ਵਿਚ ਬੀਬੀਐੱਮਬੀ ਦੇ ਮੈਂਬਰ ਸਿੰਜਾਈ ਵੀ ਸ਼ਾਮਲ ਸਨ। ਪੰਜਾਬ ਸਰਕਾਰ ਨੇ ਆਪਣੀ ਸਥਿਤੀ ਰੱਖ ਦਿੱਤੀ ਹੈ ਅਤੇ ਬੀਬੀਐੱਮਬੀ ਵੱਲੋਂ ਹਿਮਾਚਲ ਪ੍ਰਦੇਸ਼ ਸਰਕਾਰ ਨੂੰ ਵੀ ਸੂਚਨਾ ਭੇਜ ਦਿੱਤੀ ਹੈ। ਬੀਬੀਐੱਮਬੀ ਨੇ ਡੈਮਾਂ ਦੀ ਸੇਫ਼ਟੀ ਦਾ ਨੁਕਤਾ ਰੱਖਿਆ ਹੈ।,"The Bhakra Beas Management Board (BBMB) has also held a meeting with the Punjab government today. BBMB member Sinjai was also present in the meeting. Punjab government has kept its position and BBMB has also sent information to Himachal Pradesh government. BBMB has put the point of safety of dams.
",FALSE,
7,ਹਰ ਇਕ ਵਿਅਕਤੀ ਨੂੰ ਆਪਣੇ ਭਾਈਚਾਰੇ ਦੀ ਸਭਿਆਚਾਰਕ ਜਿ਼ੰਦਗੀ ਵਿਚ ਖੁੱਲ੍ਹ ਕੇ ਭਾਗ ਲੈਣ ਦਾ ਹੱਕ ਹੋਏਗਾ । ਉਸ ਨੂੰ ਕੋਮਲ ਕਲਾਵਾਂ ਦਾ ਆਨੰਦ ਮਾਨਣ ਅਤੇ ਵਿਗਿਆਨਕ ਉੱਨਤੀ ਤੇ ਇਸ ਤੋਂ ਮਿਲੇ ਫ਼ਾਇਦਿਆਂ ਵਿਚੋਂ ਹਿੱਸਾ ਲੈਣ ਦਾ ਹੱਕ ਹੈ ।,Every person will have the right to freely participate in the cultural life of his community. He has the right to enjoy the fine arts and to share in the benefits of scientific progress.,FALSE,
8,"ਹਰ ਇਕ ਵਿਅਕਤੀ ਨੂੰ ਆਪਣੀ ਵਿਗਿਆਨਕ, ਸਾਹਿਤਕ ਜਾਂ ਕਲਾਤਮਕ ਕਿ੍ਰਤ ਦੇ ਨਤੀਜੇ ਵਜੋਂ ਇਜ਼ਲਾਕੀ ਤੇ ਮਾਇਕ ਪੱਖੋਂ ਸੁਰੱਖਿਆ ਲੈਣ ਦਾ ਹੱਕ ਹਾਸਲ ਹੈ ।","Every person has the right to intellectual and moral protection as a result of his scientific, literary or artistic work.",FALSE,
9,ਹਰੇਕ ਵਿਅਕਤੀ ਨੂੰ ਵਿਦਿਆ ਹਾਸਲ ਕਰਨ ਦਾ ਹੱਕ ਹੈ । ਵਿਦਿਆ ਮੁਫ਼ਤ ਹੋਏਗੀ । ਘਟ ਤੋਂ ਘਟ ਪ੍ਰਾਇਮਰੀ ਵਿਦਿਆ ਮੁਫ਼ਤ ਹੋਏਗੀ । ਪ੍ਰਾਇਮਰੀ ਵਿਦਿਆ ਲਾਜ਼ਮੀ ਹੋਏਗੀ । ਤਕਨੀਕੀ ਤੇ ਕਿੱਤਾ ਸਿਖਿਆ ਤਕ ਹਰ ਇਕ ਦੀ ਪਹੁੰਚ ਹੋਏਗੀ । ਇਸੇ ਤਰ੍ਹਾਂ ਉਚੇਰੀ ਵਿਦਿਆ ਯੋਗਤਾ ਦੇ ਆਧਾਰ ਉਤੇ ਹਰ ਇਕ ਨੂੰ ਮਿਲ ਸਕੇਗੀ ।,"Every person has the right to get education. Education will be free. At least primary education will be free. Primary education will be compulsory. Everyone will have access to technical and vocational education. Similarly, higher education will be available to everyone on the basis of merit.",FALSE,
10,"ਮਨੁੱਖੀ ਸਖਸ਼ੀਅਤ ਦੀ ਮੁਕੰਮਲ ਪ੍ਰਫ਼ੁਲਤਾ ਵਿਦਿਆ ਦਾ ਉਦੇਸ ਹੋਏਗਾ ਅਤੇ ਸਾਰੇ ਮੁਲਕਾਂ, ਨਸਲੀ ਤੇ ਧਾਰਮਿਕ ਸੰਗਠਨਾ ਵਿਚ ਮਨੁੱਖੀ ਅਧਿਕਾਰਾਂ ਪ੍ਰਤੀ ਦੋਸਤੀ ਤੇ ਸਤਿਕਾਰ ਦੀ ਭਾਵਨਾ ਨੂੰ ਮਜ਼ਬੂਤ ਕਰਨਾ, ਵਿਦਿਆ ਦੀ ਮੰਜਿ਼ਲ ਹੋਏਗਾ ਅਤੇ ਸ਼ਾਂਤੀ ਕਾਇਮ ਰਖਣ ਲਈ ਸੰਪੂਰਣ ਰਾਸ਼ਟਰ ਦੀਆਂ ਸਰਗਰਮੀਆਂ ਨੂੰ ਅੱਗੇ ਲੈ ਕੇ ਜਾਏਗੀ ।","The full flourishing of the human personality will be the aim of education and strengthening the spirit of friendship and respect for human rights in all countries, ethnic and religious organizations, will be the goal of education and will carry forward the activities of the entire nation to maintain peace.",FALSE,
11,"ਸਾਰਾ ਮਨੁੱਖੀ ਪਰਿਵਾਰ ਆਪਣੀ ਮਹਿਮਾ, ਸ਼ਾਨ ਅਤੇ ਹੱਕਾਂ ਦੇ ਪੱਖੋਂ ਜਨਮ ਤੋਂ ਹੀ ਆਜ਼ਾਦ ਹੈ ਅਤੇ ਸੁਤੇ ਸਿੱਧ ਸਾਰੇ ਲੋਕ ਬਰਾਬਰ ਹਨ । ਉਨ੍ਹਾਂ ਸਭਨਾ ਨੂੰ ਤਰਕ ਅਤੇ ਜ਼ਮੀਰ ਦੀ ਸੌਗਾਤ ਮਿਲੀ ਹੋਈ ਹੈ ਅਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਭਰਾਤਰੀਭਾਵ ਦੀ ਭਾਵਨਾ ਰਖਦਿਆਂ ਆਪਸ ਵਿਚ ਵਿਚਰਣਾ ਚਾਹੀਦਾ ਹੈ ।","
The whole human family is free from birth in terms of its glory, dignity and rights and all people are equal. All of them are gifted with reason and conscience and they should interact with each other with a sense of brotherhood.",FALSE,
12,ਸੰਨ 47 ਦੇ ਰੌਲ਼ਿਆਂ ਵੇਲੇ ਲੱਖਾਂ ਨਿਰਦੋਸ਼ ਲੋਕ ਮੌਤ ਦੇ ਤਾਂਡਵ ਦੀ ਭੇਟਾ ਚੜ੍ਹ ਗਏ ਸਨ,"
During the riots of 1947, lakhs of innocent people were put to death",FALSE,
13,"ਅੱਜ ਭਾਰਤ ਦੀ ਜਿਹੜੀ ਆਜ਼ਾਦ ਫ਼ਿਜ਼ਾ ’ਚ ਅਸੀਂ ਵਿਚਰ ਰਹੇ ਹਾਂ, ਉਹ ਆਜ਼ਾਦੀ ਦੇ ਉਨ੍ਹਾਂ ਲੱਖਾਂ ਪਰਵਾਨਿਆਂ ਸਦਕਾ ਹੈ ਜਿਨ੍ਹਾਂ ਦੇਸ਼ ਲਈ ਬਿਨਾਂ ਕਿਸੇ ਸਵਾਰਥ ਦੇ ਹੱਸਦੇ-ਹੱਸਦੇ ਸ਼ਹਾਦਤਾਂ ਪਾਈਆਂ ਸਨ। ਉਨ੍ਹਾਂ ’ਚੋਂ ਬਹੁਤੇ ਅਜਿਹੇ ਹਨ ਜਿਨ੍ਹਾਂ ਦੇ ਨਾਂ ਤਕ ਅੱਜ ਕੋਈ ਨਹੀਂ ਜਾਣਦਾ। ਉਨ੍ਹਾਂ ਸਭਨਾਂ ਨੂੰ ਸਾਡਾ ਕੋਟਿ-ਕੋਟਿ ਪ੍ਰਣਾਮ। ਪੂਰੇ 76 ਵਰ੍ਹੇ ਪਹਿਲਾਂ ਸਮੂਹ ਭਾਰਤੀਆਂ ਦੇ ਬਹੁਤ ਜ਼ਿਆਦਾ ਸੰਘਰਸ਼ਾਂ ਤੋਂ ਬਾਅਦ ਦੇਸ਼ ਆਜ਼ਾਦ ਹੋਇਆ ਸੀ। ਦੇਸ਼ ਪਹਿਲਾਂ ਮੁਗ਼ਲਾਂ ਅਧੀਨ ਰਿਹਾ ਤੇ ਫਿਰ ਇਸ ’ਤੇ ਇੰਗਲੈਂਡ ਦੀ ਈਸਟ ਇੰਡੀਆ ਕੰਪਨੀ ਦਾ ਕਬਜ਼ਾ ਹੋ ਗਿਆ।","The freedom we are living in India today is due to those millions of freedom fighters who sacrificed their lives for the country without any selfishness. Most of them are those whose names no one knows today. Our humble bow to all of them. 76 years ago, the country became independent after a lot of struggle by all Indians. The country was first under the Mughals and then it was occupied by the East India Company of England.",FALSE,
14,ਇਹ ਸਹੀ ਹੈ ਕਿ ਮੋਦੀ ਸਰਕਾਰ ਦੇ ਸੱਤਾ ’ਚ ਆਉਣ ਤੋਂ ਬਾਅਦ ਉੱਚ ਪੱਧਰ ’ਤੇ ਚੱਲੇ ਆ ਰਹੇ ਭ੍ਰਿਸ਼ਟਾਚਾਰ ’ਤੇ ਕਾਫ਼ੀ ਹੱਦ ਤੱਕ ਲਗਾਮ ਲੱਗੀ ਹੈ ਪਰ ਹੇਠਲੇ ਪੱਧਰ ’ਤੇ ਭ੍ਰਿਸ਼ਟਾਚਾਰ ਦੀ ਹਾਲਤ ਪਹਿਲਾਂ ਵਰਗੀ ਹੀ ਹੈ ਤੇ ਉਸ ਤੋਂ ਆਮ ਜਨਤਾ ਡਾਢੀ ਦੁਖੀ ਹੈ। ਸਪੱਸ਼ਟ ਹੈ ਕਿ ਭ੍ਰਿਸ਼ਟਾਚਾਰ ਵਿਰੁੱਧ ਲੜੀ ਜਾ ਰਹੀ ਜੰਗ ਨੂੰ ਹਾਲੇ ਹੋਰ ਅਗਾਂਹ ਤੱਕ ਲਿਜਾਣ ਦੀ ਜ਼ਰੂਰਤ ਹੈ। ਭ੍ਰਿਸ਼ਟਾਚਾਰ ਦੇ ਕਈ ਰੂਪ ਹਨ।,"It is true that after the Modi government came to power, the corruption going on at the highest level has been curbed to a large extent, but the condition of corruption at the lower level is the same as before and the common people are suffering from it. It is clear that the war against corruption needs to be taken further. Corruption has many forms.",FALSE,
15,"ਸਾਡੇ ਦੇਸ਼ ਆਜ਼ਾਦ ਹੋਏ ਨੂੰ ਅੱਧੀ ਸਦੀ ਤੋਂ ਜ਼ਿਆਦਾ ਸਮਾਂ ਹੋ ਗਿਆ ਹੈ ਪਰ ਦੇਸ਼ ਦੇ ਹਾਲਾਤਾਂ ’ਚ ਜ਼ਿਆਦਾ ਸੁਧਾਰ ਨਹੀਂ ਹੋਇਆ। ਸਾਡੇ ਦੇਸ਼ ਤੋਂ ਬਾਅਦ ਕਈ ਦੇਸ਼ ਆਜ਼ਾਦ ਹੋਏ, ਜੋ ਸਾਡੇ ਦੇਸ਼ ਨਾਲੋਂ ਆਰਥਿਕ ਦਸ਼ਾ ’ਚ ਕਾਫ਼ੀ ਅੱਗੇ ਲੰਘ ਗਏ ਹਨ।
","It has been more than half a century since our country became independent, but the conditions of the country have not improved much. Many countries became independent after our country, which have gone much further than our country in terms of economy.",FALSE,
16,"ਚਰਿੱਤਰ 'ਤੇ ਸ਼ੱਕ ਕਾਰਨ ਪਤੀ ਤੇ ਜੇਠ ਨੇ ਕੀਤੀ ਗਰਭਵਤੀ ਦੀ ਹੱਤਿਆ, ਪੁਲਿਸ ਨੇ ਰੱਤਾ ਟਿੱਬਾ 'ਚ ਔਰਤ ਦੇ ਕਤਲ ਦੀ ਗੁੱਥੀ ਸੁਲਝਾਈ","Husband and Jeth killed a pregnant woman due to suspicion of her character, police solved the mystery of woman's murder in Ratta Tibba",FALSE,
17,"ਕ੍ਰਿਕਟ ਦੇ ਮੈਦਾਨ 'ਤੇ ਜਦੋਂ ਪਹਿਲੀ ਵਾਰ IND vs PAK ਦੀ ਹੋਈ ਟੱਕਰ, ਸਿਆਸੀ ਦਿੱਗਜ ਵੀ ਸਨ ਮੌਜੂਦ, ਪ੍ਰਸ਼ੰਸਕਾਂ ਦਾ ਆਇਆ ਹੜ੍ਹ","When IND vs PAK clashed for the first time on the cricket ground, political giants were also present, a flood of fans came
",FALSE,
